1.379	0.000101374
1.38	0.000098581
1.381	0.000107359
1.382	0.000120717
1.383	0.000119875
1.384	0.000135132
1.385	0.000144456
1.386	0.00015956
1.387	0.000167904
1.388	0.000183852
1.389	0.000200412
1.39	0.000214256
1.391	0.000234248
1.392	0.000247454
1.393	0.00026829
1.394	0.000292418
1.395	0.000311326
1.396	0.000334402
1.397	0.000370489
1.398	0.000394825
1.399	0.000422743
1.4	0.000459197
1.401	0.000489906
1.402	0.000522916
1.403	0.000564219
1.404	0.000597981
1.405	0.000642004
1.406	0.000687802
1.407	0.000732695
1.408	0.000781114
1.409	0.000826289
1.41	0.000882917
1.411	0.000941302
1.412	0.00100075
1.413	0.00106111
1.414	0.00112148
1.415	0.00118823
1.416	0.00125543
1.417	0.00132814
1.418	0.00140937
1.419	0.00148751
1.42	0.00157096
1.421	0.00166369
1.422	0.00176452
1.423	0.00186302
1.424	0.00196314
1.425	0.0020799
1.426	0.00220213
1.427	0.00234472
1.428	0.00247888
1.429	0.00262483
1.43	0.00278999
1.431	0.00296287
1.432	0.00315424
1.433	0.00335993
1.434	0.00358261
1.435	0.00383266
1.436	0.00411378
1.437	0.00441255
1.438	0.00474217
1.439	0.00511193
1.44	0.00551576
1.441	0.00597232
1.442	0.00648174
1.443	0.00706181
1.444	0.0077084
1.445	0.00844025
1.446	0.00926848
1.447	0.0102112
1.448	0.0112662
1.449	0.0124546
1.45	0.0138224
1.451	0.0154255
1.452	0.017216001
1.453	0.019302901
1.454	0.0217124
1.455	0.024524501
1.456	0.0277404
1.457	0.031516701
1.458	0.035893101
1.459	0.041031901
1.46	0.046874698
1.461	0.053731401
1.462	0.061741199
1.463	0.071023501
1.464	0.081563197
1.465	0.093729101
1.466	0.107616
1.467	0.123337999
1.468	0.140783995
1.469	0.160199001
1.47	0.181833997
1.471	0.205645993
1.472	0.231133997
1.473	0.258722991
1.474	0.288289994
1.475	0.319649011
1.476	0.352447003
1.477	0.386467993
1.478	0.421698004
1.479	0.457720011
1.48	0.493636996
1.481	0.529632986
1.482	0.565989971
1.483	0.601550996
1.484	0.635635018
1.485	0.668483019
1.486	0.700058997
1.487	0.741609991
1.488	0.76967603
1.489	0.783285022
1.49	0.805667996
1.491	0.826352
1.492	0.844610989
1.493	0.860814989
1.494	0.874972999
1.495	0.886955976
1.496	0.896893024
1.497	0.905086994
1.498	0.911894977
1.499	0.917442977
1.5	0.921775997
1.501	0.925377011
1.502	0.928417027
1.503	0.930914998
1.504	0.932968974
1.505	0.93482703
1.506	0.936585009
1.507	0.938193023
1.508	0.939727008
1.509	0.941232979
1.51	0.942664027
1.511	0.944127977
1.512	0.945526004
1.513	0.946895003
1.514	0.948121011
1.515	0.949187994
1.516	0.950181007
1.517	0.951035976
1.518	0.951699972
1.519	0.952215016
1.52	0.952535987
1.521	0.952850997
1.522	0.953014016
1.523	0.953045011
1.524	0.953068972
1.525	0.953041971
1.526	0.953007996
1.527	0.952997983
1.528	0.953172982
1.529	0.95331198
1.53	0.953593016
1.531	0.954051971
1.532	0.954670012
1.533	0.955401003
1.534	0.956255019
1.535	0.957282007
1.536	0.958338022
1.537	0.959420025
1.538	0.960579991
1.539	0.961799026
1.54	0.962915003
1.541	0.964017987
1.542	0.965044975
1.543	0.965875983
1.544	0.966603994
1.545	0.96705699
1.546	0.967233002
1.547	0.967118025
1.548	0.966750979
1.549	0.966210008
1.55	0.965268016
1.551	0.964154005
1.552	0.962633014
1.553	0.960996985
1.554	0.958975017
1.555	0.956939995
1.556	0.954518974
1.557	0.95222199
1.558	0.949712992
1.559	0.947296977
1.56	0.944799006
1.561	0.942364991
1.562	0.940011024
1.563	0.937759995
1.564	0.93552798
1.565	0.933573008
1.566	0.931859016
1.567	0.93048799
1.568	0.929226995
1.569	0.92811501
1.57	0.927335024
1.571	0.926823974
1.572	0.926428974
1.573	0.926425993
1.574	0.926568985
1.575	0.926868975
1.576	0.927483022
1.577	0.92810601
1.578	0.928951979
1.579	0.930069029
1.58	0.931147993
1.581	0.932316005
1.582	0.933605015
1.583	0.935056984
1.584	0.936402023
1.585	0.937717974
1.586	0.93918699
1.587	0.940590024
1.588	0.942143023
1.589	0.943584979
1.59	0.944938004
1.591	0.946183026
1.592	0.947342992
1.593	0.948531985
1.594	0.94977802
1.595	0.950756013
1.596	0.951721013
1.597	0.952524006
1.598	0.953338981
1.599	0.953951001
1.6	0.954454005
1.601	0.954773009
1.602	0.955075979
1.603	0.955228984
1.604	0.955123007
1.605	0.954883993
1.606	0.954674006
1.607	0.954208016
1.608	0.953579009
1.609	0.952881992
1.61	0.952006996
1.611	0.951120019
1.612	0.949994981
1.613	0.94896698
1.614	0.947742999
1.615	0.946492016
1.616	0.945043981
1.617	0.943668008
1.618	0.942179978
1.619	0.940768003
1.62	0.939405978
1.621	0.937937021
1.622	0.936524987
1.623	0.93522501
1.624	0.933947027
1.625	0.93276298
1.626	0.931596994
1.627	0.930602014
1.628	0.929722011
1.629	0.928950012
1.63	0.928245008
1.631	0.92780602
1.632	0.927385986
1.633	0.92711401
1.634	0.92702198
1.635	0.927052975
1.636	0.927191973
1.637	0.927423
1.638	0.927761018
1.639	0.928324997
1.64	0.92897898
1.641	0.929661989
1.642	0.930405021
1.643	0.931326985
1.644	0.932376027
1.645	0.933323979
1.646	0.934409976
1.647	0.935384989
1.648	0.93652302
1.649	0.937492013
1.65	0.938530028
1.651	0.939616978
1.652	0.940577984
1.653	0.941509008
1.654	0.942505002
1.655	0.943359017
1.656	0.944078028
1.657	0.944790006
1.658	0.945384979
